algorithm,profile,n,comparisons,assignments,seconds,correct
selection,random,100,4950,609,0.000221,1
selection,sorted,100,4950,0,0.0002,1
selection,reversed,100,4950,2650,0.000271,1
selection,nearly_sorted,100,4950,5,0.000207,1
selection,few_unique,100,4950,457,0.000223,1
selection,random,200,19900,1353,0.00085,1
selection,sorted,200,19900,0,0.000809,1
selection,reversed,200,19900,10214,0.001071,1
selection,nearly_sorted,200,19900,10,0.000799,1
selection,few_unique,200,19900,880,0.000844,1
selection,random,500,124750,3810,0.005702,1
selection,sorted,500,124750,0,0.005739,1
selection,reversed,500,124750,61696,0.007344,1
selection,nearly_sorted,500,124750,29,0.00571,1
selection,few_unique,500,124750,2350,0.005724,1
selection,random,1000,499500,8327,0.023302,1
selection,sorted,1000,499500,0,0.023157,1
selection,reversed,1000,499500,241225,0.030231,1
selection,nearly_sorted,1000,499500,50,0.023604,1
selection,few_unique,1000,499500,4529,0.023559,1
selection,random,2000,1999000,18057,0.097032,1
selection,sorted,2000,1999000,0,0.096238,1
selection,reversed,2000,1999000,914266,0.123141,1
selection,nearly_sorted,2000,1999000,114,0.097689,1
selection,few_unique,2000,1999000,9190,0.099975,1
selection,random,3000,4498500,29473,0.233545,1
selection,sorted,3000,4498500,0,0.228883,1
selection,reversed,3000,4498500,1946603,0.282821,1
selection,nearly_sorted,3000,4498500,165,0.219523,1
selection,few_unique,3000,4498500,13670,0.223125,1
bubble_naive,random,100,9900,7095,0.000567,1
bubble_naive,sorted,100,9900,0,0.000448,1
bubble_naive,reversed,100,9900,14850,0.0007,1
bubble_naive,nearly_sorted,100,9900,141,0.000437,1
bubble_naive,few_unique,100,9900,6237,0.000583,1
bubble_naive,random,200,39800,28236,0.002365,1
bubble_naive,sorted,200,39800,0,0.001791,1
bubble_naive,reversed,200,39800,59694,0.002872,1
bubble_naive,nearly_sorted,200,39800,372,0.001799,1
bubble_naive,few_unique,200,39800,25086,0.002341,1
bubble_naive,random,500,249500,183504,0.016842,1
bubble_naive,sorted,500,249500,0,0.012991,1
bubble_naive,reversed,500,249500,374217,0.020085,1
bubble_naive,nearly_sorted,500,249500,3801,0.012749,1
bubble_naive,few_unique,500,249500,161955,0.016304,1
